product_title,product_size,product_min_price
Kit Kat King Size 3oz,3oz,2.49
DairyPure 2% Reduced Fat Milk 14 oz,14oz,2.59
Reese's PB King Size 2.8oz,2.8oz,2.49
DairyPure Whole Milk 14oz,14oz,1.49
DairyPure 2% Milk 14oz,14oz,1.49
DairyPure Whole Milk 14oz,14oz,1.89
DairyPure 2% Milk Half Gallon,64oz,3.89
DairyPure Fat Free Milk 1 Gallon,1gal,5.29
DairyPure 1% Milk 1 Gallon,1gal,5.29
DairyPure Whole Milk 1 Gallon,1gal,5.29
DairyPure Half & Half 1 Pint,1pt,2.49
DairyPure Light Cream 1 Pint,1pt,2.89
DairyPure Whole Milk Half Gallon,64oz,3.89
DairyPure Fat Free Milk 1 Quart,1qt,2.09
DairyPure Sour Cream 16oz,16oz,4.19
DairyPure Whole Milk 1 Quart,1qt,0.99
DairyPure Fat Free Milk Half Gallon Half Gallon,64oz,3.79
DairyPure 2% Milk 1 Gallon,1gal,5.29
DairyPure 1% Milk Half Gallon,1gal,3.79
DairyPure Salted Butter Quarters 1lb,1lb,3.69
Nesquik Chocolate Milk 14oz,14oz,2.29
7 Select Whole Milk 1 Gallon,1gal,4.99
Magnum Milk Chocolate Hazelnut Pint,1pt,6.49
7 Select 2% Milk 1 Gallon,1gal,5.19
Cadbury Caramello Milk Chocolate Bar 4oz,4oz,3.19
Prairie Farms Chocolate Milk 14oz,14oz,2.49
Berkeley Farms 1 % Milk Gallon,1gal,5.59
Upstate Farms Strawberry Milk Plus Pint,1pt,2.09
Upstate Farms Intense Vanilla Milk Pint,1pt,2.09
Oak Farms Whole Milk 1 Pint,1pt,1.99
FITCrunch Baked Protein Bar Milk & Cookies 3.1oz,3.1oz,3.29
Yoohoo Chocolate Drink 15.5oz,15.5oz,1.99
LOL Surprise Finders Keepers Milk Chocolate Egg 1.4oz,1.4oz,2.99
Maola Whole Milk 12oz,12oz,2.39
M&M's Milk Chocolate Peanut Candy 5.3oz,5.3oz,3.69
Triton Original 16oz & Otis Milk Chocolate Chunk Cookie,3 items,4.98
Butterfinger 1.9oz,1.9oz,1.99
Triton Strawberry Kiwi 16oz & Otis Milk Chocolate Chunk Cookie,3 items,4.98
Prairie Farms Whole Milk 14oz,14oz,2.29
Upstate Farms Whole Milk Pint,1pt,2.09
Flipz Milk Chocolate Pretzels 5oz,5oz,3.29
Maola 1% Chocolate Milk 14 oz,14oz,3.69
Berkeley Farms 1% Milk Half Gallon,64oz,4.19
Prairie Farms 1% Milk Half Gallon,1hgal,4.29
7 Select Chocolate 1% Milk Quart,1qt,3.39
Horizon Organic 1% Chocolate Milk 8oz,64oz,1.99
Model Dairy 2% Milk Half Gallon,1hg,3.89
Oak Farms 1% Milk Half Gallon,1hg,3.99
Muscle Milk ProSeries 40 Slammin' Strawberry 14oz,14oz,4.59
Reese's Milk Chocolate Peanut Butter Snack Cakes 2 Count,2ct,1.99
Reese's Milk Chocolate Crunchy Peanut Butter Snack Cake 2.75oz,2.75oz,1.99
NESQUIK Low Fat Strawberry Milk 14oz,14oz,2.29
NESQUIK Protein Power Vanilla Milk 14oz,14oz,2.79
NESQUIK Low Fat Strawberry Milk 14oz,14oz,2.29
Nesquik Protein Power Strawberry Milk 14oz,14oz,2.79
Classic Cold Brew Oat Milk Latte with Antioxidants 8.4oz,8.4oz,0.99
Dairilicious 2% Milk 1 Gallon,1gal,4.99
Producers 1% Milk 1 Quart,1qt,3.09
Producers 2% Milk 1 Quart,1qt,3.09
Prairie Farms 1% Milk Gallon,1gal,4.09
Alpenrose 3.8% Whole Milk Quart,1qt,2.99
